id,phone_sequence
fadg0_si1279,HIrwLAJULtaIrIrDeBaBLMrIrDnwLMwQtLtJ
fadg0_si1909,vLJLtHtbnbnaLiKtwnPwPwLukuywDUDcCDPBcPBPwUJMLtIFBUJLlwLmLDyTyUyULtNlHlwKr
fadg0_si649,DvlwLMJncbDtQtItrIrUJtMIrICBgbLAlwQtzKMvyDwDLMJMyTywcQLHIrLHklhcwDJnDIrUJLhlwnbgLlLJLMtIrIrvurIreFBFBwLAhBysymTrLKtKncLH
fadg0_sx109,JLKiKyJBwcLlvLMkMwnDLDJLHrIgIgryEDyvrIrIgbgbwyELHuABFBLASaDcnDJLMyLMJLBcFcLHLM
fadg0_sx19,vlJcnBwPFPCDCDwnDncCDLJUJcBFQBaSrSIrLAvwnDaBatlwDLhyKytBncDwUJwyLyLD
fadg0_sx199,ULTwyncDyDLDLziKiMiMIcaFBLkQIrwDEyKwmwFcQhSaFSBaSIywLmukwsLAJLhlcBcFGIrKIrLMwLAhwDLkMAvCnsysLzwUJLlMUwUwyUJUJwDcwJ
fadg0_sx289,SwnLlwrLHIyPytMtLAcnBagaDLKwJUJwrQhIywryDTyJtBncrDJybaDBaBaBaB
fadg0_sx379,HvAbwsbDCDLkuywDQDJLMztIrIagnLQmQhyEyEDCBbCBcnJDwDUJcBaDLlkrUJUJLMwnswDUJUJ
faks0_si1573,tLyLvAvwUJUJLAvbebaLSLMkwcncLDywyEaFaFcUJLMlwywDncDEDwyvAvbsgLkukwrLkwnDEDwUJLhHhyPCQmkPwPtBLhcBPFBLMJLtSaSarSaIrDmwDELKiKiKMbebaLky
faks0_si2203,JtLlkwrQIyUJCsbwUJNtrwcLlwUJLhkagsLJyEyDLkMtBPBPBwcnwLKLDnbeBeBFQB
faks0_si943,NLALtLHILkDcaLAiKJKwPwPwPwnDwDwysytaBaBcJtAtHAarLhcBSBaFBScanLAJLlHhwLHMHMsyKwcFDLrLJ
faks0_sx133,UJLvJtLHtvyLMJUnrIywnwUJcarIrLAHAPwDEyEDmyEmywDyLtrLASwLABSaGgagaDyLiKiLJ
faks0_sx223,JLNLHBtBcMAcLlwcLhSFcLMiMiMirLhBaBagaLMtsywLhcBFaGBcDCcwDLurIagIbIKiJ
faks0_sx313,tALvLAHaIaDLMtJtgagnLKJtaIrEDECDLJwrDEsyDEDhcLhgagabaLAJLhcFtBaIryPsLuAmaFaFeFBSgeB
faks0_sx403,vAvIrIrSLSaILuAkuIeFLAQyDyDyDLJnwUJUcQhFBaFDEBEbESBwysyKJLArarLJUcDPwDLkhBSgeFeBLJcrQwcwUJ
faks0_sx43,CnvMbnBQlBrDPBSByswLHvyLlHlhBFaBaSBarIaIADHtNtNtMNQcDwnHLAJLAlAByPQLkwLkM
fcal1_si1403,MAJLtLvLDHnwnFBSBSBaBSBSsywUJLNtNlwnbnDkDwLlkwLHvbnsKiKMwLDUJgbLAurwLASCBLhBSBgDnwJLDlCsbDbnbtwnwJUwLJtneaBaBQtLA
fcal1_si2033,lShSPwLhkhywywLABaBaJUJBcFcJKMbsDLmkwLNLHlMkrIFSBsnwDJLMIcFaGIswgwBgbgLALULlwnwnDJ
fcal1_si773,SBcmFaBLHIagaLzKzwngLAJLMIgbwnJBUBFBysyLtIrUJnrQIrBLMklkBnbsgEsywswDUJLUJ
fcal1_sx143,lwUJwnbcDkwPwLzwDwnQtQIrULkhkuyTyLlhcFBJLAuwywrIrwLklknDsvbsyEbwbDBgagFcBF
