id,phone_sequence
fadg0_si1279,HIrLAJUaIDBLMrIDLMwtJ
fadg0_si1909,tbLKwnPwLuwDBPwJIBJLlLDyUtlwKr
fadg0_si649,wLJnDtIrJtrCBgbLwQtzKyDwLJMywQLHrLlwJnDIrJLnLMtrvrIFBwLAByTrKnLH
fadg0_sx109,KyJBLMwDJLHIgyEyvrgbwLAFBaDJLMyLJBcFLH
fadg0_sx19,cBPCDnCDJFQSrLAvDaBtwDhytBnDUJwy
fadg0_sx199,TynDyLiFBLkrDKwmwQhFSmkLAJLlcFrKrLMwLwDMsLzwJLMwUyUJwJ
fadg0_sx289,SLlrLHItLABaKwUrQhwryTyJtBDJybDB
fadg0_sx379,HAbDLuywDJLIgQyDBcJDJBaDLlrJLMnswJ
faks0_si1573,tLvwJLAeaLMcDyFJLlywDnDvbgLkrLkwDwUJLymPtBLhPLJLarSaIrDmwDKbLky
faks0_si2203,lkQIyJbwJtwLlwJLagsLJyEyLtBPBKDbeB
faks0_si943,HILkcaLAKwDstaBaBtarLhBSBFBSLAJLwLMsKDLJ
faks0_sx133,UJLHyLJrIywUJarLADyEyEywDytrLASwLABGaDLiKi
faks0_sx223,HcLlLhcLirLhBaLMsyLhFaBcDwLurIagK
faks0_sx313,tLAIaLtagLJtaIEDJDcLhagaLAJLhctaIyLuaeFBSgeB
faks0_sx403,vrSaILIFLAyJnwJcQhFEByJLArLJDPLBgeLJcJ
faks0_sx43,vnBrPByLHvyLlBSBaIaAtcDLAJLABPLkw
fcal1_si1403,wSaBSswUNwnDwLwLHvsKwDJgbLAwLABLhBSBgDwJCbDbtnJUwLJnet
fcal1_si2033,SPwLhywLABaJBKbsDLwLrIFSsnwJLMaIwBgLlwnJ
fcal1_si773,SBcmFaBLHIaLznLALMIgJBFBytrJnQIBLknbsJ
fcal1_sx143,lwJbDPLzwDwtrULyTyLcBJLuyrLnbDBaF
fcal1_sx233,vagFSsynEtIyPSBsCyDwJnsyDLlnbED
fcal1_sx323,lwtaLHrQnLknDHrCrIgbQEDegDLMAaearbCD
fcal1_sx413,MnbtLyJLSymKJLDsmcLHSwLJLAatLCbLiLzrJLArLM
fcal1_sx53,yDwJUwLBQcLAnbLhyBsnrIsLAwDLMsDJnDhBJ
fcmh0_si1454,gaFIwLzUBFBsyLwCsDLMagLKyPwUJLMSrQInrIywJLAacCLHwUwKwDUJUctLHaBynbJLzrJU
fcmh0_si2084,SBmnLbmnLMyCIwDksnD
fcmh0_si824,JnQFtrCUnCILiKwDLkbgUJwEynwDUJagDLInLHIrIsKwDMTytLyDbnDytbLKrJ
fcmh0_sx104,vyJLMkBFBnLkagDLICcLsLur
fcmh0_sx14,hytawLlnrwJLwUwLJUnsbCDLhyQyPnrQytaCyBa
fcmh0_sx194,hsywDzFBgsnSBgDagbegaLkPKwD
fcmh0_sx284,zbtLcayPBaILuTyLkwDtsLrIbLhwJwDzwtyLiLHrLiKwJ
fcmh0_sx374,zaDMByDJLKnBtwsKtaIbBnQwED
fdac1_si1474,vgbJLAybDCDbDwvyUJbLhBwUtLDCaLMwJLMbsyJLJ
fdac1_si2104,veatagbgegvKvytJNagaLAsyLBgKJLwcLQFGBnJwsyULyLbmaBgbJ
fdac1_si844,tegcJLMJbLlCnLAeFBctwKwDwUJsywUJUwLiKsyPtLbLAysLAJLbDLJnDQDbLiKSBaBLsLJLHnrIywDLJ
fdac1_sx124,HagaLzwLJLCsmwLHyPmrILhyPmctBD
fdac1_sx214,lcCagaDmyCDLkwBgaDnwJLHgsnLkwnSBbLABnJnDLMLwDlwJgDJ
fdac1_sx304,iKyLJLMagbLAyEDwUJKICIgbDntIswJLMegbDPUlnFcChagaDLk
fdac1_sx34,MbeFDCLkwPwLiKbeByUJLMnsmyLkysUKwUJ
fdac1_sx394,AbeBJywDCDnsLJLhaFyDUJwDLMKyJLAIaD
fdms0_si1218,HABcLJCSaIBQtrLMDSBgyvyDwDLHvbKDJU
fdms0_si1502,vwBUDbCLUbLUBwLHvbDsLDvsLAsytSBgLMyLwLHsLALDbgaLzwJwLAbr
fdms0_si1848,SyLAwDkbgLJKyCLSyLADkbgBgLAIDBLHyLHB
fdms0_sx138,DwLABcDUwLvJDrJLkwBJwDLAJLlwnDUJwULHrtAyD
fdms0_sx228,wvyTLHaSwDHBQwBcLtynDKwD
fdms0_sx318,HUByULMwLCcLMsmwnUJnLhytSFtIagaJLU
fdms0_sx408,vgLkILwJcLhSBgLlnDvbQwDkwDwtLiKsyDLzy
fdms0_sx48,uIbDCLkrIbeaLAIPDvrIbLHIwDyDLHvswLvbwLJ
fdrw0_si1283,lwmyEDyDwKnBLMwLlwDQsyBgbLMPDymyLctaBbaLwLAsUQbLHcLlBynLtagIJLM
fdrw0_si1423,bcLkFBagDvyLAbgbDcLJwLhBgaeB
fdrw0_si653,JKwFBsmwJwUwIybeagBmySyaBwLhDeaeBwLJ
